aggragate_area;aggregate_date;aggregate_time;aggregate_temp_avg;aggregate_temp_min;aggregate_temp_max;aggregate_temp_stddev;aggregate_wind_avg;aggregate_wind_min;aggregate_wind_max;aggregate_wind_stddev;aggregate_rain_avg;aggregate_rain_min;aggregate_rain_max;aggregate_rain_stddev
Szeged;2017-04-30;22:00:00;17,00;5,90;25,70;8,53;3,63;0,00;9,61;3,36;2,73;0,00;16,40;16,40
Budapest;2017-04-30;23:00:00;10,53;1,70;18,20;6,34;3,91;0,00;12,94;5,33;2,40;0,00;21,60;21,60
Debrecen;2017-04-30;23:00:00;12,67;5,00;18,60;5,18;3,73;0,00;11,30;4,34;3,13;0,00;28,20;28,20
Sopron;2017-04-30;23:00:00;10,90;3,00;18,40;6,52;7,41;0,00;21,25;9,27;6,55;0,00;39,30;39,30
Szeged;2017-04-30;23:00:00;11,17;3,50;17,80;6,19;0,35;0,00;1,79;0,72;0,32;0,00;1,90;1,90
Budapest;2017-04-30;3:00:00;16,97;10,40;23,80;3,85;0,39;0,00;3,47;1,15;0,18;0,00;1,60;1,60
Debrecen;2017-04-30;3:00:00;18,33;11,00;23,10;5,35;1,44;0,00;8,82;3,06;0,56;0,00;5,00;5,00
Sopron;2017-04-30;3:00:00;19,05;15,50;23,50;3,01;3,03;0,00;18,20;7,43;1,13;0,00;6,80;6,80
Szeged;2017-04-30;3:00:00;18,12;13,20;23,60;4,42;9,07;0,00;50,90;20,54;4,13;0,00;24,80;24,80
Budapest;2017-04-30;4:00:00;16,78;13,80;20,40;1,86;1,32;0,00;9,31;3,04;0,82;0,00;7,40;7,40
Debrecen;2017-04-30;4:00:00;21,83;16,50;25,70;2,65;0,21;0,00;1,90;0,63;0,06;0,00;0,50;0,50
Sopron;2017-04-30;4:00:00;20,57;19,10;22,30;1,27;0,95;0,00;4,80;1,90;0,55;0,00;3,30;3,30
Szeged;2017-04-30;4:00:00;19,05;14,80;23,20;3,11;0,01;0,00;0,05;0,02;0,02;0,00;0,10;0,10
Budapest;2017-04-30;5:00:00;15,78;13,10;18,70;1,78;0,03;0,00;0,28;0,09;0,01;0,00;0,10;0,10
Debrecen;2017-04-30;5:00:00;19,07;16,70;22,50;2,00;8,01;0,00;47,02;16,77;3,70;0,00;33,30;33,30
Sopron;2017-04-30;5:00:00;15,93;14,40;18,70;1,56;1,97;0,00;11,05;4,46;0,60;0,00;3,60;3,60
Szeged;2017-04-30;5:00:00;14,95;13,20;17,10;1,68;5,97;0,00;16,90;5,92;2,25;0,00;13,50;13,50
Budapest;2017-04-30;6:00:00;17,13;10,40;23,80;3,99;5,15;0,00;44,57;14,79;2,09;0,00;18,80;18,80
Debrecen;2017-04-30;6:00:00;18,61;11,00;23,50;5,56;0,36;0,00;2,91;0,96;0,60;0,00;5,40;5,40
Sopron;2017-04-30;6:00:00;20,17;16,20;23,50;2,56;0,75;0,00;3,20;1,31;0,47;0,00;2,80;2,80
Szeged;2017-04-30;6:00:00;18,82;14,80;23,60;3,57;0,70;0,00;2,34;1,09;0,18;0,00;1,10;1,10
Budapest;2017-04-30;7:00:00;11,26;4,70;17,80;5,72;0,08;0,00;0,72;0,24;0,09;0,00;0,80;0,80
Debrecen;2017-04-30;7:00:00;16,44;5,60;25,70;8,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Sopron;2017-04-30;7:00:00;16,28;6,40;22,30;6,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Szeged;2017-04-30;7:00:00;16,42;6,90;23,20;7,03;0,28;0,00;1,47;0,59;0,13;0,00;0,80;0,80
Budapest;2017-04-30;8:00:00;9,57;4,20;18,40;5,14;3,08;0,00;15,16;5,95;1,11;0,00;10,00;10,00
Debrecen;2017-04-30;8:00:00;10,88;3,00;17,80;6,15;0,30;0,00;0,88;0,40;0,97;0,00;8,70;8,70
Sopron;2017-04-30;8:00:00;10,32;4,00;18,20;6,16;0,97;0,00;5,82;2,37;0,70;0,00;4,20;4,20
Szeged;2017-04-30;8:00:00;8,22;1,70;16,50;5,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Budapest;2017-04-30;9:00:00;17,93;13,50;21,70;2,21;5,46;0,00;47,43;15,75;1,86;0,00;16,70;16,70
Debrecen;2017-04-30;9:00:00;16,61;14,40;19,90;1,81;0,82;0,00;5,44;1,85;0,22;0,00;2,00;2,00
Sopron;2017-04-30;9:00:00;14,95;13,20;17,10;1,68;1,31;0,00;6,36;2,52;0,67;0,00;4,00;4,00
Szeged;2017-04-30;9:00:00;15,55;13,10;17,30;1,47;6,71;0,00;20,96;10,41;3,10;0,00;18,60;18,60
Budapest;2017-05-01;10:00:00;14,66;10,40;17,10;2,12;0,31;0,00;1,81;0,65;0,23;0,00;2,10;2,10
Debrecen;2017-05-01;10:00:00;16,89;13,10;22,50;3,14;0,08;0,00;0,72;0,24;0,02;0,00;0,20;0,20
Sopron;2017-05-01;10:00:00;18,70;16,70;21,70;1,83;0,69;0,00;4,12;1,68;0,20;0,00;1,20;1,20
Szeged;2017-05-01;10:00:00;15,93;14,40;18,70;1,56;1,35;0,00;4,59;2,08;0,58;0,00;3,50;3,50
Budapest;2017-05-01;11:00:00;18,42;14,80;23,60;2,94;5,30;0,00;19,29;7,06;2,37;0,00;21,30;21,30
Debrecen;2017-05-01;11:00:00;18,58;11,10;23,80;4,33;0,34;0,00;2,90;0,96;0,36;0,00;3,20;3,20
Sopron;2017-05-01;11:00:00;18,45;11,00;23,50;5,56;1,36;0,00;7,41;2,98;0,40;0,00;2,40;2,40
Szeged;2017-05-01;11:00:00;20,17;16,20;23,50;2,56;0,63;0,00;3,56;1,44;0,42;0,00;2,50;2,50
Budapest;2017-05-01;10:00:00;19,94;16,20;23,50;2,49;0,08;0,00;0,37;0,16;0,32;0,00;2,90;2,90
Debrecen;2017-05-01;10:00:00;18,29;13,20;23,60;3,79;0,20;0,00;1,84;0,61;0,07;0,00;0,60;0,60
Sopron;2017-05-01;10:00:00;15,88;10,40;19,20;3,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Szeged;2017-05-01;10:00:00;20,17;13,50;23,80;3,86;0,76;0,00;2,20;0,91;0,38;0,00;2,30;2,30
Budapest;2017-05-01;11:00:00;19,40;11,00;25,70;4,96;2,19;0,00;19,69;6,56;0,63;0,00;5,70;5,70
Debrecen;2017-05-01;11:00:00;19,77;14,80;23,20;2,78;3,64;0,00;19,90;6,61;2,27;0,00;20,40;20,40
Sopron;2017-05-01;11:00:00;16,53;15,20;17,80;0,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Szeged;2017-05-01;11:00:00;16,55;11,10;22,60;4,28;3,19;0,00;19,12;7,81;0,85;0,00;5,10;5,10
Budapest;2017-05-01;12:00:00;9,18;3,50;21,40;6,68;0,41;0,00;1,99;0,82;0,19;0,00;1,70;1,70
Debrecen;2017-05-01;12:00:00;5,91;1,70;8,80;2,20;16,32;0,00;115,70;37,78;5,49;0,00;49,40;49,40
Sopron;2017-05-01;12:00:00;5,95;5,00;8,30;1,36;2,61;0,00;14,82;5,99;0,85;0,00;5,10;5,10
Szeged;2017-05-01;12:00:00;7,70;3,00;23,90;7,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Budapest;2017-05-01;13:00:00;15,27;11,10;18,00;2,53;0,02;0,00;0,12;0,04;0,30;0,00;2,70;2,70
Debrecen;2017-05-01;13:00:00;15,72;13,10;18,20;1,45;1,67;0,00;10,65;3,49;2,90;0,00;26,10;26,10
Sopron;2017-05-01;13:00:00;16,35;13,50;18,60;1,99;5,13;0,00;18,89;7,32;2,40;0,00;14,40;14,40
Szeged;2017-05-01;13:00:00;15,53;10,10;18,40;3,61;5,11;0,00;18,17;6,78;2,87;0,00;17,20;17,20
Budapest;2017-05-01;14:00:00;18,53;13,20;23,60;3,68;1,98;0,00;11,28;4,00;3,82;0,00;34,40;34,40
Debrecen;2017-05-01;14:00:00;16,47;10,40;22,50;3,63;0,64;0,00;2,56;1,00;0,53;0,00;4,80;4,80
Sopron;2017-05-01;14:00:00;20,17;13,50;23,80;3,86;7,57;0,00;30,15;12,61;2,00;0,00;12,00;12,00
Szeged;2017-05-01;14:00:00;20,18;17,30;22,40;2,04;1,07;0,00;4,11;1,70;0,52;0,00;3,10;3,10
Budapest;2017-05-01;15:00:00;19,80;16,00;23,20;2,51;0,87;0,00;4,04;1,66;0,40;0,00;3,60;3,60
Debrecen;2017-05-01;15:00:00;17,11;14,80;20,40;1,91;1,00;0,00;6,18;2,11;0,44;0,00;4,00;4,00
Sopron;2017-05-01;15:00:00;16,55;11,10;22,60;4,28;0,17;0,00;0,68;0,28;0,23;0,00;1,40;1,40
Szeged;2017-05-01;15:00:00;19,13;11,00;25,70;6,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Budapest;2017-05-01;16:00:00;9,42;1,70;20,60;6,36;1,60;0,00;6,51;2,24;0,90;0,00;8,10;8,10
Debrecen;2017-05-01;16:00:00;5,92;5,00;8,30;1,16;3,14;0,00;10,96;4,12;2,33;0,00;21,00;21,00
Sopron;2017-05-01;16:00:00;7,70;3,00;23,90;7,98;7,62;0,00;18,97;7,53;4,35;0,00;26,10;26,10
Szeged;2017-05-01;16:00:00;10,33;3,50;21,40;8,15;1,36;0,00;7,40;2,98;2,73;0,00;16,40;16,40
Budapest;2017-05-01;17:00:00;14,27;4,00;18,20;5,02;1,66;0,00;9,98;3,52;0,46;0,00;4,10;4,10
Debrecen;2017-05-01;17:00:00;15,83;13,10;18,60;1,94;6,38;0,00;28,78;8,94;2,69;0,00;24,20;24,20
Sopron;2017-05-01;17:00:00;15,53;10,10;18,40;3,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Szeged;2017-05-01;17:00:00;14,72;11,10;17,80;2,72;0,31;0,00;1,69;0,68;0,38;0,00;2,30;2,30
Budapest;2017-05-01;18:00:00;15,24;10,40;19,00;2,81;0,05;0,00;0,48;0,16;0,03;0,00;0,30;0,30
Debrecen;2017-05-01;18:00:00;19,00;13,50;23,80;3,80;0,41;0,00;1,53;0,60;0,72;0,00;6,50;6,50
Sopron;2017-05-01;18:00:00;20,18;17,30;22,40;2,04;4,44;0,00;12,95;5,67;3,57;0,00;21,40;21,40
Szeged;2017-05-01;18:00:00;18,50;15,40;23,50;3,29;7,98;0,00;29,52;12,10;5,17;0,00;31,00;31,00
Budapest;2017-05-01;19:00:00;19,16;14,80;23,60;3,33;5,66;0,00;44,42;14,69;1,73;0,00;15,60;15,60
Debrecen;2017-05-01;19:00:00;16,29;11,10;22,60;3,41;0,20;0,00;1,43;0,48;0,32;0,00;2,90;2,90
Sopron;2017-05-01;19:00:00;19,13;11,00;25,70;6,23;8,47;0,00;49,10;19,92;3,62;0,00;21,70;21,70
Szeged;2017-05-01;19:00:00;19,78;16,20;22,30;2,20;19,31;0,00;114,83;46,80;7,20;0,00;43,20;43,20
Budapest;2017-05-01;2:00:00;19,78;14,90;23,80;2,68;1,54;0,00;8,63;2,92;1,04;0,00;9,40;9,40
Debrecen;2017-05-01;2:00:00;16,43;11,00;23,90;5,17;0,12;0,00;0,70;0,25;0,07;0,00;0,60;0,60
Sopron;2017-05-01;2:00:00;20,82;16,20;25,70;3,19;0,50;0,00;1,50;0,77;0,37;0,00;2,20;2,20
Szeged;2017-05-01;2:00:00;21,43;19,50;23,60;1,60;2,75;0,00;16,50;6,74;0,72;0,00;4,30;4,30
Budapest;2017-05-01;20:00:00;9,59;5,30;20,30;5,98;3,54;0,00;31,83;10,61;0,93;0,00;8,40;8,40
Debrecen;2017-05-01;20:00:00;6,82;3,00;23,90;6,45;4,09;0,00;19,77;6,71;2,13;0,00;19,20;19,20
Sopron;2017-05-01;20:00:00;10,33;3,50;21,40;8,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Szeged;2017-05-01;20:00:00;11,58;6,40;20,60;6,62;1,20;0,00;7,22;2,95;0,38;0,00;2,30;2,30
Budapest;2017-05-01;21:00:00;13,11;1,70;17,60;5,62;0,55;0,00;4,99;1,66;0,17;0,00;1,50;1,50
Debrecen;2017-05-01;21:00:00;15,87;10,10;18,60;3,19;0,88;0,00;4,46;1,59;0,77;0,00;6,90;6,90
Sopron;2017-05-01;21:00:00;14,72;11,10;17,80;2,72;0,91;0,00;5,47;2,23;0,50;0,00;3,00;3,00
Szeged;2017-05-01;21:00:00;13,58;4,00;18,20;6,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Budapest;2017-05-01;22:00:00;15,79;10,40;23,80;3,90;0,01;0,00;0,09;0,03;0,42;0,00;3,80;3,80
Debrecen;2017-05-01;22:00:00;20,68;17,30;23,10;2,04;0,03;0,00;0,24;0,08;0,03;0,00;0,30;0,30
Sopron;2017-05-01;22:00:00;18,50;15,40;23,50;3,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Szeged;2017-05-01;22:00:00;15,32;13,20;19,00;2,29;0,49;0,00;2,92;1,19;0,82;0,00;4,90;4,90
Budapest;2017-05-01;23:00:00;17,03;13,80;20,40;2,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Debrecen;2017-05-01;23:00:00;18,33;11,00;25,70;5,83;0,02;0,00;0,17;0,06;0,01;0,00;0,10;0,10
Sopron;2017-05-01;23:00:00;19,78;16,20;22,30;2,20;3,42;0,00;13,17;5,61;1,53;0,00;9,20;9,20
Szeged;2017-05-01;23:00:00;20,08;14,80;23,60;3,81;1,11;0,00;3,90;1,53;0,45;0,00;2,70;2,70
Budapest;2017-05-01;3:00:00;15,34;4,70;20,40;4,39;3,59;0,00;22,50;7,55;1,33;0,00;12,00;12,00
Debrecen;2017-05-01;3:00:00;21,83;16,50;25,70;2,65;3,51;0,00;17,47;5,67;2,86;0,00;25,70;25,70
Sopron;2017-05-01;3:00:00;20,57;19,10;22,30;1,27;3,38;0,00;10,13;3,88;1,90;0,00;11,40;11,40
Szeged;2017-05-01;3:00:00;19,05;14,80;23,20;3,11;2,16;0,00;9,81;3,84;1,28;0,00;7,70;7,70
Budapest;2017-05-01;4:00:00;6,29;4,20;11,90;2,45;0,92;0,00;6,86;2,28;0,64;0,00;5,80;5,80
Debrecen;2017-05-01;4:00:00;6,97;3,00;12,40;3,42;0,75;0,00;4,87;1,67;2,39;0,00;21,50;21,50
Sopron;2017-05-01;4:00:00;6,82;4,00;8,80;1,61;0,22;0,00;1,29;0,53;0,07;0,00;0,40;0,40
Szeged;2017-05-01;4:00:00;5,48;1,70;8,10;2,15;1,17;0,00;4,44;1,91;0,43;0,00;2,60;2,60
Budapest;2017-05-01;5:00:00;17,01;13,50;18,60;1,86;5,92;0,00;31,94;11,59;4,56;0,00;41,00;41,00
Debrecen;2017-05-01;5:00:00;16,52;14,40;17,80;1,31;0,70;0,00;5,14;1,71;0,70;0,00;6,30;6,30
Sopron;2017-05-01;5:00:00;16,55;14,00;18,20;1,63;2,16;0,00;9,37;3,81;2,75;0,00;16,50;16,50
Szeged;2017-05-01;5:00:00;15,22;13,10;16,50;1,28;13,16;0,00;77,81;31,67;4,17;0,00;25,00;25,00
Budapest;2017-05-01;6:00:00;19,47;11,00;23,80;4,45;11,56;0,00;36,22;13,25;5,82;0,00;52,40;52,40
Debrecen;2017-05-01;6:00:00;18,71;11,80;23,50;3,69;3,02;0,00;15,22;5,97;2,29;0,00;20,60;20,60
Sopron;2017-05-01;6:00:00;18,12;13,20;23,60;4,42;0,58;0,00;1,78;0,79;1,72;0,00;10,30;10,30
Szeged;2017-05-01;6:00:00;15,88;10,40;19,20;3,39;3,90;0,00;16,60;6,79;4,20;0,00;25,20;25,20
Budapest;2017-05-01;7:00:00;18,88;11,10;25,70;4,98;7,63;0,00;36,38;13,91;5,27;0,00;47,40;47,40
Debrecen;2017-05-01;7:00:00;20,70;19,10;22,30;1,18;1,57;0,00;10,64;3,52;0,61;0,00;5,50;5,50
Sopron;2017-05-01;7:00:00;19,05;14,80;23,20;3,11;11,52;0,00;59,70;23,78;7,10;0,00;42,60;42,60
Szeged;2017-05-01;7:00:00;16,53;15,20;17,80;0,98;0,25;0,00;1,52;0,62;0,07;0,00;0,40;0,40
Budapest;2017-05-01;8:00:00;7,49;3,00;23,90;6,60;0,36;0,00;3,23;1,08;0,16;0,00;1,40;1,40
Debrecen;2017-05-01;8:00:00;7,08;4,00;12,40;2,49;1,98;0,00;8,44;3,47;0,62;0,00;5,60;5,60
Sopron;2017-05-01;8:00:00;5,48;1,70;8,10;2,15;6,99;0,00;38,56;15,52;3,30;0,00;19,80;19,80
Szeged;2017-05-01;8:00:00;5,95;5,00;8,30;1,36;12,91;0,00;43,87;18,52;6,45;0,00;38,70;38,70
Budapest;2017-05-01;9:00:00;15,79;10,10;18,40;3,01;11,73;0,00;75,28;24,64;3,41;0,00;30,70;30,70
Debrecen;2017-05-01;9:00:00;16,37;14,00;18,20;1,51;6,06;0,00;25,81;10,42;3,30;0,00;29,70;29,70
Sopron;2017-05-01;9:00:00;15,22;13,10;16,50;1,28;15,45;0,00;87,55;35,38;6,80;0,00;40,80;40,80
Szeged;2017-05-01;9:00:00;16,35;13,50;18,60;1,99;7,16;0,00;34,90;13,97;2,28;0,00;13,70;13,70
Budapest;2017-05-02;0:00:00;7,68;4,20;17,80;5,10;8,70;0,00;65,50;21,46;2,64;0,00;23,80;23,80
Debrecen;2017-05-02;0:00:00;10,50;3,00;23,90;8,60;3,40;0,00;16,58;5,38;1,77;0,00;15,90;15,90
Sopron;2017-05-02;0:00:00;11,58;6,40;20,60;6,62;3,26;0,00;14,83;5,76;1,55;0,00;9,30;9,30
Szeged;2017-05-02;0:00:00;10,97;5,40;20,30;7,03;0,11;0,00;0,68;0,28;0,10;0,00;0,60;0,60
Budapest;2017-05-02;1:00:00;14,00;5,00;18,60;4,88;1,52;0,00;9,28;3,25;0,76;0,00;6,80;6,80
Debrecen;2017-05-02;1:00:00;14,77;10,10;17,80;2,99;0,22;0,00;2,00;0,67;0,27;0,00;2,40;2,40
Sopron;2017-05-02;1:00:00;13,58;4,00;18,20;6,19;2,71;0,00;8,25;3,65;1,03;0,00;6,20;6,20
Szeged;2017-05-02;1:00:00;11,58;1,70;16,50;6,41;2,30;0,00;4,77;2,06;1,15;0,00;6,90;6,90
Budapest;2017-05-02;10:00:00;19,40;11,00;25,70;4,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Debrecen;2017-05-02;10:00:00;19,77;14,80;23,20;2,78;0,03;0,00;0,29;0,10;0,01;0,00;0,10;0,10
Sopron;2017-05-02;10:00:00;16,53;15,20;17,80;0,98;0,05;0,00;0,16;0,08;0,62;0,00;3,70;3,70
Szeged;2017-05-02;10:00:00;16,55;11,10;22,60;4,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Budapest;2017-05-02;11:00:00;9,18;3,50;21,40;6,68;0,25;0,00;2,27;0,76;0,11;0,00;1,00;1,00
Debrecen;2017-05-02;11:00:00;5,91;1,70;8,80;2,20;1,96;0,00;10,85;3,95;1,06;0,00;9,50;9,50
Sopron;2017-05-02;11:00:00;5,95;5,00;8,30;1,36;0,18;0,00;1,08;0,44;0,05;0,00;0,30;0,30
Szeged;2017-05-02;11:00:00;7,70;3,00;23,90;7,98;0,21;0,00;0,88;0,36;0,10;0,00;0,60;0,60
Budapest;2017-05-02;12:00:00;15,27;11,10;18,00;2,53;0,02;0,00;0,18;0,06;0,01;0,00;0,10;0,10
Debrecen;2017-05-02;12:00:00;15,72;13,10;18,20;1,45;3,70;0,00;30,93;10,24;1,41;0,00;12,70;12,70
Sopron;2017-05-02;12:00:00;16,35;13,50;18,60;1,99;0,10;0,00;0,58;0,24;0,45;0,00;2,70;2,70
Szeged;2017-05-02;12:00:00;15,53;10,10;18,40;3,61;5,32;0,00;24,38;9,76;1,72;0,00;10,30;10,30
Budapest;2017-05-02;13:00:00;18,53;13,20;23,60;3,68;6,22;0,00;22,61;8,13;4,98;0,00;44,80;44,80
Debrecen;2017-05-02;13:00:00;16,47;10,40;22,50;3,63;2,27;0,00;14,40;4,74;1,04;0,00;9,40;9,40
Sopron;2017-05-02;13:00:00;20,17;13,50;23,80;3,86;0,01;0,00;0,05;0,02;0,12;0,00;0,70;0,70
Szeged;2017-05-02;13:00:00;20,18;17,30;22,40;2,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Budapest;2017-05-02;14:00:00;19,80;16,00;23,20;2,51;1,00;0,00;8,57;2,84;0,38;0,00;3,40;3,40
Debrecen;2017-05-02;14:00:00;17,11;14,80;20,40;1,91;0,53;0,00;4,34;1,44;0,30;0,00;2,70;2,70
Sopron;2017-05-02;14:00:00;16,55;11,10;22,60;4,28;9,04;0,00;34,70;13,61;6,10;0,00;36,60;36,60
Szeged;2017-05-02;14:00:00;19,13;11,00;25,70;6,23;4,26;0,00;23,96;9,67;1,37;0,00;8,20;8,20
Budapest;2017-05-02;15:00:00;9,42;1,70;20,60;6,36;1,54;0,00;5,96;2,51;0,69;0,00;6,20;6,20
Debrecen;2017-05-02;15:00:00;5,92;5,00;8,30;1,16;0,11;0,00;1,01;0,34;0,03;0,00;0,30;0,30
Sopron;2017-05-02;15:00:00;7,70;3,00;23,90;7,98;2,46;0,00;12,34;4,91;1,02;0,00;6,10;6,10
Szeged;2017-05-02;15:00:00;10,33;3,50;21,40;8,15;1,51;0,00;3,87;1,49;0,80;0,00;4,80;4,80
Budapest;2017-05-02;16:00:00;5,75;4,00;7,50;2,47;3,69;3,65;3,74;0,07;4,70;3,20;9,40;9,40
Debrecen;2017-05-02;16:00:00;14,27;13,50;14,90;0,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Sopron;2017-05-02;16:00:00;11,00;10,10;11,90;1,27;18,79;0,39;37,18;26,02;6,05;0,20;12,10;12,10
Szeged;2017-05-02;16:00:00;11,75;11,10;12,40;0,92;0,27;0,00;0,53;0,38;0,10;0,00;0,20;0,20
Budapest;2017-05-02;2:00:00;18,84;13,50;22,50;2,85;1,32;0,00;10,52;3,47;2,01;0,00;18,10;18,10
Debrecen;2017-05-02;2:00:00;18,96;15,40;23,50;2,98;0,65;0,00;5,86;1,95;0,20;0,00;1,80;1,80
Sopron;2017-05-02;2:00:00;15,32;13,20;19,00;2,29;0,06;0,00;0,37;0,15;0,02;0,00;0,10;0,10
Szeged;2017-05-02;2:00:00;14,35;10,40;17,30;2,51;0,56;0,00;3,17;1,28;1,07;0,00;6,40;6,40
Budapest;2017-05-02;3:00:00;19,57;11,00;25,70;5,70;0,87;0,00;7,56;2,51;1,50;0,00;13,50;13,50
Debrecen;2017-05-02;3:00:00;19,26;11,80;22,30;3,40;6,64;0,00;29,28;10,61;3,54;0,00;31,90;31,90
Sopron;2017-05-02;3:00:00;20,08;14,80;23,60;3,81;6,22;0,00;14,82;6,65;3,10;0,00;18,60;18,60
Szeged;2017-05-02;3:00:00;17,37;15,80;19,20;1,38;3,64;0,00;14,36;6,04;1,15;0,00;6,90;6,90
Budapest;2017-05-02;4:00:00;11,20;3,50;23,90;7,87;1,54;0,00;9,05;3,23;0,49;0,00;4,40;4,40
Debrecen;2017-05-02;4:00:00;11,11;4,50;20,60;6,82;0,09;0,00;0,80;0,27;0,32;0,00;2,90;2,90
Sopron;2017-05-02;4:00:00;10,97;5,40;20,30;7,03;1,50;0,00;7,60;3,01;1,07;0,00;6,40;6,40
Szeged;2017-05-02;4:00:00;9,23;5,10;17,80;5,73;4,70;0,00;23,60;9,33;6,70;0,00;40,20;40,20
Budapest;2017-05-02;5:00:00;12,08;3,00;18,40;5,70;1,73;0,00;7,81;3,00;0,52;0,00;4,70;4,70
Debrecen;2017-05-02;5:00:00;14,06;4,00;18,20;5,12;7,37;0,00;64,64;21,48;2,22;0,00;20,00;20,00
Sopron;2017-05-02;5:00:00;11,58;1,70;16,50;6,41;3,00;0,00;12,93;5,07;1,52;0,00;9,10;9,10
Szeged;2017-05-02;5:00:00;12,90;5,00;18,60;5,31;8,20;0,00;45,90;18,51;2,62;0,00;15,70;15,70
Budapest;2017-05-02;6:00:00;19,01;16,70;23,50;2,32;2,67;0,00;13,96;5,38;0,86;0,00;7,70;7,70
Debrecen;2017-05-02;6:00:00;16,00;13,20;21,20;2,66;0,12;0,00;1,09;0,36;0,04;0,00;0,40;0,40
Sopron;2017-05-02;6:00:00;14,35;10,40;17,30;2,51;5,59;0,00;23,40;9,33;1,92;0,00;11,50;11,50
Szeged;2017-05-02;6:00:00;18,02;13,50;22,50;3,01;5,40;0,00;25,91;10,19;10,78;0,00;64,70;64,70
Budapest;2017-05-02;7:00:00;18,46;11,00;23,50;4,51;0,05;0,00;0,48;0,16;0,08;0,00;0,70;0,70
Debrecen;2017-05-02;7:00:00;20,42;14,80;23,60;3,17;0,31;0,00;2,36;0,78;0,17;0,00;1,50;1,50
Sopron;2017-05-02;7:00:00;17,37;15,80;19,20;1,38;0,94;0,00;5,66;2,31;0,75;0,00;4,50;4,50
Szeged;2017-05-02;7:00:00;19,32;11,10;23,80;5,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Budapest;2017-05-02;8:00:00;19,58;14,40;25,70;3,44;0,39;0,00;3,01;0,99;0,28;0,00;2,50;2,50
Debrecen;2017-05-02;8:00:00;16,98;14,00;20,30;2,31;6,86;0,00;55,28;18,21;1,97;0,00;17,70;17,70
Sopron;2017-05-02;8:00:00;15,48;13,10;17,80;1,59;3,51;0,00;11,60;4,86;1,85;0,00;11,10;11,10
Szeged;2017-05-02;8:00:00;17,63;13,80;23,90;3,36;2,64;0,00;15,83;6,46;1,40;0,00;8,40;8,40
Budapest;2017-05-02;9:00:00;19,94;16,20;23,50;2,49;3,91;0,00;24,36;7,91;1,63;0,00;14,70;14,70
Debrecen;2017-05-02;9:00:00;18,29;13,20;23,60;3,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Sopron;2017-05-02;9:00:00;15,88;10,40;19,20;3,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Szeged;2017-05-02;9:00:00;20,17;13,50;23,80;3,86;3,74;0,00;17,62;6,90;2,77;0,00;16,60;16,60
