observation_city;observation_station;observation_time;observation_temperature;observation_wind_speed;obeservation_rain;observation_sky
DEBRECEN;3;2017-04-28 23:57:00;20.4;2.635;1.6;CLEAR
BUDAPEST;1;2017-04-28 23:59:00;23.2;8.425;2.2;PARTLY_CLOUDY
BUDAPEST;2;2017-04-29 0:01:00;22.3;0;0;FOG
BUDAPEST;3;2017-04-29 0:03:00;20.1;2.515;2.8;FOG
SZEGED;1;2017-04-29 0:05:00;22.3;1.525;0.5;CLEAR
SZEGED;2;2017-04-29 0:07:00;25.7;0;0;HEAVY_CLOUDS
SOPRON;1;2017-04-29 0:09:00;16.5;12.335;4.4;PARTLY_CLOUDY
SOPRON;2;2017-04-29 0:11:00;13.8;0.295;1.5;HEAVY_CLOUDS
DEBRECEN;1;2017-04-29 0:13:00;15.2;0.015;0.3;CLOUDY
DEBRECEN;2;2017-04-29 0:15:00;17.8;1.655;0.5;FOG
DEBRECEN;3;2017-04-29 0:17:00;19.6;20.705;8.4;CLOUDY
BUDAPEST;1;2017-04-29 0:19:00;20.3;0;0;PARTLY_CLOUDY
BUDAPEST;2;2017-04-29 0:21:00;19.5;0;0;HEAVY_CLOUDS
BUDAPEST;3;2017-04-29 0:23:00;20.6;0;0;CLOUDY
SZEGED;1;2017-04-29 0:25:00;20.1;0;0;CLEAR
SZEGED;2;2017-04-29 0:27:00;21.4;0;0;CLOUDY
SOPRON;1;2017-04-29 0:29:00;23.9;0;0;PARTLY_CLOUDY
SOPRON;2;2017-04-29 0:31:00;4.7;0;0;HEAVY_CLOUDS
DEBRECEN;1;2017-04-29 0:33:00;5.1;1.335;0.5;CLEAR
DEBRECEN;2;2017-04-29 0:35:00;6.9;0;0;CLEAR
DEBRECEN;3;2017-04-29 0:37:00;6.9;0;0;HEAVY_CLOUDS
BUDAPEST;1;2017-04-29 0:39:00;8.1;5.735;2;PARTLY_CLOUDY
BUDAPEST;2;2017-04-29 0:41:00;8.8;0;0;PARTLY_CLOUDY
BUDAPEST;3;2017-04-29 0:43:00;6.4;0;0;CLOUDY
SZEGED;1;2017-04-29 0:45:00;5.9;0;0;CLOUDY
SZEGED;2;2017-04-29 0:47:00;6.6;0;0;CLOUDY
SOPRON;1;2017-04-29 0:49:00;5.6;0;0;FOG
SOPRON;2;2017-04-29 0:51:00;4.8;0;0;FOG
DEBRECEN;1;2017-04-29 0:53:00;5.1;0;0;FOG
DEBRECEN;2;2017-04-29 0:55:00;5.3;0;0;CLOUDY
DEBRECEN;3;2017-04-29 0:57:00;5.4;1.48;0.3;PARTLY_CLOUDY
BUDAPEST;1;2017-04-29 0:59:00;5.5;0.695;8;CLOUDY
BUDAPEST;2;2017-04-29 1:01:00;7.5;0;0;CLOUDY
BUDAPEST;3;2017-04-29 1:03:00;6.7;0;0;HEAVY_CLOUDS
SZEGED;1;2017-04-29 1:05:00;4.5;0;0;HEAVY_CLOUDS
SZEGED;2;2017-04-29 1:07:00;3.5;0;0;CLEAR
SOPRON;1;2017-04-29 1:09:00;3;0;0;PARTLY_CLOUDY
SOPRON;2;2017-04-29 1:11:00;4.2;0;0;FOG
DEBRECEN;1;2017-04-29 1:13:00;5;0;0;CLEAR
DEBRECEN;2;2017-04-29 1:15:00;8.3;0;0;CLOUDY
DEBRECEN;3;2017-04-29 1:17:00;5.3;0;0;FOG
BUDAPEST;1;2017-04-29 1:19:00;1.7;0.415;2.1;CLOUDY
BUDAPEST;2;2017-04-29 1:21:00;4;0;0;HEAVY_CLOUDS
BUDAPEST;3;2017-04-29 1:23:00;7.5;0;0;FOG
SZEGED;1;2017-04-29 1:25:00;12.4;32.435;7;HEAVY_CLOUDS
SZEGED;2;2017-04-29 1:27:00;11.1;0;0;PARTLY_CLOUDY
SOPRON;1;2017-04-29 1:29:00;10.1;10.135;3.7;PARTLY_CLOUDY
SOPRON;2;2017-04-29 1:31:00;11.9;67.2;13.6;FOG
DEBRECEN;1;2017-04-29 1:33:00;13.5;0.145;0.1;PARTLY_CLOUDY
DEBRECEN;2;2017-04-29 1:35:00;14.4;0.41;4.4;FOG
DEBRECEN;3;2017-04-29 1:37:00;14.9;5.305;2.9;CLOUDY
BUDAPEST;1;2017-04-29 1:39:00;16.5;0;0;PARTLY_CLOUDY
BUDAPEST;2;2017-04-29 1:41:00;18.2;0;0;CLEAR
BUDAPEST;3;2017-04-29 1:43:00;18;0.035;0.2;FOG
SZEGED;1;2017-04-29 1:45:00;17.7;1.315;0.6;CLEAR
SZEGED;2;2017-04-29 1:47:00;17.8;0;0;CLEAR
SOPRON;1;2017-04-29 1:49:00;17.8;5.05;16.7;HEAVY_CLOUDS
SOPRON;2;2017-04-29 1:51:00;18.4;0;0;CLOUDY
DEBRECEN;1;2017-04-29 1:53:00;18.6;2.365;0.8;FOG
DEBRECEN;2;2017-04-29 1:55:00;17.6;18.625;13.7;CLOUDY
DEBRECEN;3;2017-04-29 1:57:00;16.4;1.085;1.4;CLEAR
BUDAPEST;1;2017-04-29 1:59:00;14.7;15.215;7.4;PARTLY_CLOUDY
BUDAPEST;2;2017-04-29 2:01:00;16.7;9.01;3.8;HEAVY_CLOUDS
BUDAPEST;3;2017-04-29 2:03:00;17.1;0.95;0.2;HEAVY_CLOUDS
SZEGED;1;2017-04-29 2:05:00;14.9;2.175;1.9;FOG
SZEGED;2;2017-04-29 2:07:00;14.4;0.32;0.1;CLEAR
SOPRON;1;2017-04-29 2:09:00;16.7;0.475;3;CLOUDY
SOPRON;2;2017-04-29 2:11:00;18.3;0;0;PARTLY_CLOUDY
DEBRECEN;1;2017-04-29 2:13:00;17.5;0;0;FOG
DEBRECEN;2;2017-04-29 2:15:00;16.5;0;0;CLEAR
DEBRECEN;3;2017-04-29 2:17:00;13.1;0;0;HEAVY_CLOUDS
BUDAPEST;1;2017-04-29 2:19:00;15.7;24.73;6.6;PARTLY_CLOUDY
BUDAPEST;2;2017-04-29 2:21:00;15.3;2.47;0.9;CLOUDY
BUDAPEST;3;2017-04-29 2:23:00;14;9.08;2.1;HEAVY_CLOUDS
SZEGED;1;2017-04-29 2:25:00;15.4;13.26;3.4;PARTLY_CLOUDY
SZEGED;2;2017-04-29 2:27:00;16.7;14.585;3.3;PARTLY_CLOUDY
SOPRON;1;2017-04-29 2:29:00;17.3;0;0;HEAVY_CLOUDS
SOPRON;2;2017-04-29 2:31:00;18.3;0;0;FOG
DEBRECEN;1;2017-04-29 2:33:00;19.4;10.085;11.9;HEAVY_CLOUDS
DEBRECEN;2;2017-04-29 2:35:00;13.5;0.215;0.1;CLOUDY
DEBRECEN;3;2017-04-29 2:37:00;17.3;0;0;CLOUDY
BUDAPEST;1;2017-04-29 2:39:00;16.1;0;0;CLOUDY
BUDAPEST;2;2017-04-29 2:41:00;13.4;0;0;FOG
BUDAPEST;3;2017-04-29 2:43:00;13.2;15.53;8.3;CLEAR
SZEGED;1;2017-04-29 2:45:00;15.5;0.38;0.1;PARTLY_CLOUDY
SZEGED;2;2017-04-29 2:47:00;18.7;1.58;0.6;CLOUDY
SOPRON;1;2017-04-29 2:49:00;19.9;0;0;HEAVY_CLOUDS
SOPRON;2;2017-04-29 2:51:00;21.7;0;0;CLEAR
DEBRECEN;1;2017-04-29 2:53:00;22.5;0;0;FOG
DEBRECEN;2;2017-04-29 2:55:00;18.7;0;0;CLOUDY
DEBRECEN;3;2017-04-29 2:57:00;13.5;3.595;1.1;CLEAR
BUDAPEST;1;2017-04-29 2:59:00;10.4;0;0;CLEAR
BUDAPEST;2;2017-04-29 3:01:00;17;0;0;CLEAR
BUDAPEST;3;2017-04-29 3:03:00;19;0;0;FOG
SZEGED;1;2017-04-29 3:05:00;21.2;0;0;CLEAR
SZEGED;2;2017-04-29 3:07:00;23.5;0;0;FOG
SOPRON;1;2017-04-29 3:09:00;22.4;0;0;FOG
SOPRON;2;2017-04-29 3:11:00;21.5;13.905;4.2;CLEAR
DEBRECEN;1;2017-04-29 3:13:00;23.1;0;0;PARTLY_CLOUDY
DEBRECEN;2;2017-04-29 3:15:00;23.8;8.6;2.2;CLEAR
DEBRECEN;3;2017-04-29 3:17:00;19.2;0.725;1.1;CLEAR
BUDAPEST;1;2017-04-29 3:19:00;18.8;0;0;CLOUDY
BUDAPEST;2;2017-04-29 3:21:00;22.5;0;0;PARTLY_CLOUDY
BUDAPEST;3;2017-04-29 3:23:00;23.6;0;0;PARTLY_CLOUDY
SZEGED;1;2017-04-29 3:25:00;19.2;44.365;9;PARTLY_CLOUDY
SZEGED;2;2017-04-29 3:27:00;16.2;0;0;CLOUDY
SOPRON;1;2017-04-29 3:29:00;11.8;0;0;CLOUDY
SOPRON;2;2017-04-29 3:31:00;11;0;0;CLOUDY
DEBRECEN;1;2017-04-29 3:33:00;11.1;0;0;PARTLY_CLOUDY
DEBRECEN;2;2017-04-29 3:35:00;14.9;0;0;PARTLY_CLOUDY
DEBRECEN;3;2017-04-29 3:37:00;15.8;0;0;FOG
BUDAPEST;1;2017-04-29 3:39:00;17.4;15.23;4.7;CLEAR
BUDAPEST;2;2017-04-29 3:41:00;14.8;1.57;0.7;HEAVY_CLOUDS
BUDAPEST;3;2017-04-29 3:43:00;16;0;0;CLEAR
SZEGED;1;2017-04-29 3:45:00;21.8;0;0;CLOUDY
SZEGED;2;2017-04-29 3:47:00;19.1;0;0;PARTLY_CLOUDY
SOPRON;1;2017-04-29 3:49:00;20.5;0;0;PARTLY_CLOUDY
SOPRON;2;2017-04-29 3:51:00;23.5;0;0;PARTLY_CLOUDY
DEBRECEN;1;2017-04-29 3:53:00;22.6;0;0;HEAVY_CLOUDS
DEBRECEN;2;2017-04-29 3:55:00;20.4;9.65;5.7;CLOUDY
DEBRECEN;3;2017-04-29 3:57:00;16.3;57.31;20.9;FOG
BUDAPEST;1;2017-04-29 3:59:00;16.7;33.14;9.7;FOG
BUDAPEST;2;2017-04-29 4:01:00;20.4;0.29;0.1;HEAVY_CLOUDS
BUDAPEST;3;2017-04-29 4:03:00;23.2;0;0;HEAVY_CLOUDS
SZEGED;1;2017-04-29 4:05:00;22.3;0;0;PARTLY_CLOUDY
SZEGED;2;2017-04-29 4:07:00;20.1;0;0;HEAVY_CLOUDS
SOPRON;1;2017-04-29 4:09:00;22.3;2.395;0.7;FOG
SOPRON;2;2017-04-29 4:11:00;25.7;0;0;PARTLY_CLOUDY
DEBRECEN;1;2017-04-29 4:13:00;16.5;0;0;CLEAR
DEBRECEN;2;2017-04-29 4:15:00;13.8;0;0;CLOUDY
DEBRECEN;3;2017-04-29 4:17:00;15.2;0;0;CLEAR
BUDAPEST;1;2017-04-29 4:19:00;17.8;0;0;FOG
BUDAPEST;2;2017-04-29 4:21:00;19.6;0.465;0.1;PARTLY_CLOUDY
BUDAPEST;3;2017-04-29 4:23:00;20.3;0;0;CLOUDY
SZEGED;1;2017-04-29 4:25:00;19.5;0;0;CLOUDY
SZEGED;2;2017-04-29 4:27:00;20.6;0;0;CLEAR
SOPRON;1;2017-04-29 4:29:00;20.1;0;0;FOG
SOPRON;2;2017-04-29 4:31:00;21.4;0.03;0.1;PARTLY_CLOUDY
DEBRECEN;1;2017-04-29 4:33:00;23.9;0;0;PARTLY_CLOUDY
DEBRECEN;2;2017-04-29 4:35:00;4.7;9.08;14.3;HEAVY_CLOUDS
DEBRECEN;3;2017-04-29 4:37:00;5.1;47.39;13.3;PARTLY_CLOUDY
BUDAPEST;1;2017-04-29 4:39:00;6.9;2.905;0.6;PARTLY_CLOUDY
BUDAPEST;2;2017-04-29 4:41:00;6.9;4.83;1.1;HEAVY_CLOUDS
BUDAPEST;3;2017-04-29 4:43:00;8.1;8.845;2.2;FOG
SZEGED;1;2017-04-29 4:45:00;8.8;11.325;5.7;CLOUDY
SZEGED;2;2017-04-29 4:47:00;6.4;0;0;CLOUDY
SOPRON;1;2017-04-29 4:49:00;5.9;0.61;0.2;PARTLY_CLOUDY
SOPRON;2;2017-04-29 4:51:00;6.6;29.56;11.1;PARTLY_CLOUDY
DEBRECEN;1;2017-04-29 4:53:00;5.6;0.845;0.5;HEAVY_CLOUDS
DEBRECEN;2;2017-04-29 4:55:00;4.8;0.16;1.8;FOG
DEBRECEN;3;2017-04-29 4:57:00;5.1;0;0;FOG
BUDAPEST;1;2017-04-29 4:59:00;5.3;0;0;FOG
BUDAPEST;2;2017-04-29 5:01:00;5.4;4.92;1.8;HEAVY_CLOUDS
BUDAPEST;3;2017-04-29 5:03:00;5.5;19.875;4;HEAVY_CLOUDS
SZEGED;1;2017-04-29 5:05:00;7.5;0;0;CLOUDY
SZEGED;2;2017-04-29 5:07:00;6.7;165.85;36.5;HEAVY_CLOUDS
SOPRON;1;2017-04-29 5:09:00;4.5;30.155;18.4;CLOUDY
SOPRON;2;2017-04-29 5:11:00;3.5;0;0;HEAVY_CLOUDS
DEBRECEN;1;2017-04-29 5:13:00;3;0;0;FOG
DEBRECEN;2;2017-04-29 5:15:00;4.2;0;0;CLOUDY
DEBRECEN;3;2017-04-29 5:17:00;5;0;0;CLEAR
BUDAPEST;1;2017-04-29 5:19:00;8.3;0;0;PARTLY_CLOUDY
BUDAPEST;2;2017-04-29 5:21:00;5.3;0;0;CLOUDY
BUDAPEST;3;2017-04-29 5:23:00;1.7;0;0;CLEAR
SZEGED;1;2017-04-29 5:25:00;4;0;0;FOG
SZEGED;2;2017-04-29 5:27:00;7.5;0;0;CLOUDY
SOPRON;1;2017-04-29 5:29:00;12.4;0;0;CLOUDY
SOPRON;2;2017-04-29 5:31:00;11.1;0;0;CLOUDY
DEBRECEN;1;2017-04-29 5:33:00;10.1;0;0;FOG
DEBRECEN;2;2017-04-29 5:35:00;11.9;0;0;PARTLY_CLOUDY
DEBRECEN;3;2017-04-29 5:37:00;13.5;0;0;HEAVY_CLOUDS
BUDAPEST;1;2017-04-29 5:39:00;14.4;6.535;2.9;FOG
BUDAPEST;2;2017-04-29 5:41:00;14.9;0;0;FOG
BUDAPEST;3;2017-04-29 5:43:00;16.5;0;0;CLEAR
SZEGED;1;2017-04-29 5:45:00;18.2;9.76;2.4;CLEAR
SZEGED;2;2017-04-29 5:47:00;18;0;0;CLEAR
SOPRON;1;2017-04-29 5:49:00;17.7;1.525;0.7;CLOUDY
SOPRON;2;2017-04-29 5:51:00;17.8;0;0;FOG
DEBRECEN;1;2017-04-29 5:53:00;17.8;88.05;19.5;PARTLY_CLOUDY
DEBRECEN;2;2017-04-29 5:55:00;18.4;12.125;4.1;CLOUDY
DEBRECEN;3;2017-04-29 5:57:00;18.6;2.23;0.5;FOG
BUDAPEST;1;2017-04-29 5:59:00;17.6;0;0;PARTLY_CLOUDY
BUDAPEST;2;2017-04-29 6:01:00;16.4;19.805;5.5;PARTLY_CLOUDY
BUDAPEST;3;2017-04-29 6:03:00;14.7;0;0;FOG
SZEGED;1;2017-04-29 6:05:00;16.7;0.08;0.1;CLOUDY
SZEGED;2;2017-04-29 6:07:00;17.1;0.105;0.2;PARTLY_CLOUDY
SOPRON;1;2017-04-29 6:09:00;14.9;0;0;CLOUDY
SOPRON;2;2017-04-29 6:11:00;14.4;0;0;CLEAR
DEBRECEN;1;2017-04-29 6:13:00;16.7;0;0;CLOUDY
DEBRECEN;2;2017-04-29 6:15:00;18.3;21.55;5.3;FOG
DEBRECEN;3;2017-04-29 6:17:00;17.5;12.205;3.7;HEAVY_CLOUDS
BUDAPEST;1;2017-04-29 6:19:00;16.5;0.575;0.2;HEAVY_CLOUDS
BUDAPEST;2;2017-04-29 6:21:00;13.1;0;0;CLEAR
BUDAPEST;3;2017-04-29 6:23:00;15.7;0;0;CLOUDY
SZEGED;1;2017-04-29 6:25:00;15.3;0;0;PARTLY_CLOUDY
SZEGED;2;2017-04-29 6:27:00;14;0;0;CLOUDY
SOPRON;1;2017-04-29 6:29:00;15.4;0;0;CLEAR
SOPRON;2;2017-04-29 6:31:00;16.7;0;0;CLEAR
DEBRECEN;1;2017-04-29 6:33:00;17.3;14.72;4.1;FOG
DEBRECEN;2;2017-04-29 6:35:00;18.3;0;0;HEAVY_CLOUDS
DEBRECEN;3;2017-04-29 6:37:00;19.4;0;0;CLOUDY
BUDAPEST;1;2017-04-29 6:39:00;13.5;0;0;FOG
BUDAPEST;2;2017-04-29 6:41:00;17.3;0;0;FOG
BUDAPEST;3;2017-04-29 6:43:00;16.1;0;0;CLOUDY
SZEGED;1;2017-04-29 6:45:00;13.4;0.38;0.2;PARTLY_CLOUDY
SZEGED;2;2017-04-29 6:47:00;13.2;0.305;0.1;CLEAR
SOPRON;1;2017-04-29 6:49:00;15.5;8.92;6.7;CLOUDY
SOPRON;2;2017-04-29 6:51:00;18.7;44.56;12.6;FOG
DEBRECEN;1;2017-04-29 6:53:00;19.9;0;0;CLEAR
DEBRECEN;2;2017-04-29 6:55:00;21.7;0;0;CLOUDY
DEBRECEN;3;2017-04-29 6:57:00;22.5;0;0;FOG
BUDAPEST;1;2017-04-29 6:59:00;18.7;0;0;FOG
BUDAPEST;2;2017-04-29 7:01:00;13.5;0;0;CLOUDY
BUDAPEST;3;2017-04-29 7:03:00;10.4;2.74;4.2;PARTLY_CLOUDY
SZEGED;1;2017-04-29 7:05:00;17;0;0;FOG
SZEGED;2;2017-04-29 7:07:00;19;17.07;8;CLEAR
SOPRON;1;2017-04-29 7:09:00;21.2;9.11;3.8;HEAVY_CLOUDS
SOPRON;2;2017-04-29 7:11:00;23.5;0;0;CLEAR
DEBRECEN;1;2017-04-29 7:13:00;22.4;0;0;CLOUDY
DEBRECEN;2;2017-04-29 7:15:00;21.5;0;0;FOG
DEBRECEN;3;2017-04-29 7:17:00;23.1;0;0;FOG
BUDAPEST;1;2017-04-29 7:19:00;23.8;0;0;CLOUDY
BUDAPEST;2;2017-04-29 7:21:00;19.2;0;0;PARTLY_CLOUDY
BUDAPEST;3;2017-04-29 7:23:00;18.8;0;0;HEAVY_CLOUDS
SZEGED;1;2017-04-29 7:25:00;22.5;0;0;FOG
SZEGED;2;2017-04-29 7:27:00;23.6;0;0;HEAVY_CLOUDS
SOPRON;1;2017-04-29 7:29:00;19.2;0;0;CLEAR
SOPRON;2;2017-04-29 7:31:00;16.2;0;0;HEAVY_CLOUDS
DEBRECEN;1;2017-04-29 7:33:00;11.8;0;0;PARTLY_CLOUDY
DEBRECEN;2;2017-04-29 7:35:00;11;0;0;CLOUDY
DEBRECEN;3;2017-04-29 7:37:00;11.1;1.935;0.9;CLEAR
BUDAPEST;1;2017-04-29 7:39:00;14.9;0;0;CLOUDY
BUDAPEST;2;2017-04-29 7:41:00;15.8;0;0;HEAVY_CLOUDS
BUDAPEST;3;2017-04-29 7:43:00;17.4;0;0;CLEAR
SZEGED;1;2017-04-29 7:45:00;14.8;0;0;PARTLY_CLOUDY
SZEGED;2;2017-04-29 7:47:00;16;0;0;FOG
SOPRON;1;2017-04-29 7:49:00;21.8;25.625;20.3;HEAVY_CLOUDS
SOPRON;2;2017-04-29 7:51:00;19.1;0;0;CLOUDY
DEBRECEN;1;2017-04-29 7:53:00;20.5;1.29;0.8;PARTLY_CLOUDY
DEBRECEN;2;2017-04-29 7:55:00;23.5;0;0;HEAVY_CLOUDS
DEBRECEN;3;2017-04-29 7:57:00;22.6;0;0;PARTLY_CLOUDY
BUDAPEST;1;2017-04-29 7:59:00;20.4;0;0;PARTLY_CLOUDY
BUDAPEST;2;2017-04-29 8:01:00;16.3;0.77;0.4;CLOUDY
BUDAPEST;3;2017-04-29 8:03:00;16.7;0;0;FOG
SZEGED;1;2017-04-29 8:05:00;20.4;41.355;13.2;HEAVY_CLOUDS
SZEGED;2;2017-04-29 8:07:00;23.2;0;0;CLOUDY
SOPRON;1;2017-04-29 8:09:00;22.3;0;0;CLEAR
SOPRON;2;2017-04-29 8:11:00;20.1;0;0;CLOUDY
DEBRECEN;1;2017-04-29 8:13:00;22.3;0;0;CLEAR
DEBRECEN;2;2017-04-29 8:15:00;25.7;0;0;HEAVY_CLOUDS
DEBRECEN;3;2017-04-29 8:17:00;16.5;0;0;HEAVY_CLOUDS
BUDAPEST;1;2017-04-29 8:19:00;13.8;0;0;CLOUDY
BUDAPEST;2;2017-04-29 8:21:00;15.2;0;0;CLOUDY
BUDAPEST;3;2017-04-29 8:23:00;17.8;0;0;PARTLY_CLOUDY
SZEGED;1;2017-04-29 8:25:00;19.6;0;0;CLOUDY
SZEGED;2;2017-04-29 8:27:00;20.3;0;0;CLOUDY
SOPRON;1;2017-04-29 8:29:00;19.5;0;0;CLEAR
SOPRON;2;2017-04-29 8:31:00;20.6;0;0;HEAVY_CLOUDS
DEBRECEN;1;2017-04-29 8:33:00;20.1;0;0;HEAVY_CLOUDS
DEBRECEN;2;2017-04-29 8:35:00;21.4;0;0;CLEAR
DEBRECEN;3;2017-04-29 8:37:00;23.9;8.07;1.7;CLEAR
BUDAPEST;1;2017-04-29 8:39:00;4.7;0;0;FOG
BUDAPEST;2;2017-04-29 8:41:00;5.1;0;0;CLOUDY
BUDAPEST;3;2017-04-29 8:43:00;6.9;0;0;HEAVY_CLOUDS
SZEGED;1;2017-04-29 8:45:00;6.9;14.335;3.6;FOG
SZEGED;2;2017-04-29 8:47:00;8.1;1.355;1;PARTLY_CLOUDY
SOPRON;1;2017-04-29 8:49:00;8.8;0;0;CLOUDY
SOPRON;2;2017-04-29 8:51:00;6.4;0;0;HEAVY_CLOUDS
DEBRECEN;1;2017-04-29 8:53:00;5.9;0;0;HEAVY_CLOUDS
DEBRECEN;2;2017-04-29 8:55:00;6.6;0.265;0.9;FOG
DEBRECEN;3;2017-04-29 8:57:00;5.6;0;0;FOG
BUDAPEST;1;2017-04-29 8:59:00;4.8;5.205;4.1;PARTLY_CLOUDY
BUDAPEST;2;2017-04-29 9:01:00;5.1;0;0;PARTLY_CLOUDY
BUDAPEST;3;2017-04-29 9:03:00;5.3;0;0;CLOUDY
SZEGED;1;2017-04-29 9:05:00;5.4;0;0;CLOUDY
SZEGED;2;2017-04-29 9:07:00;5.5;2.425;0.7;FOG
SOPRON;1;2017-04-29 9:09:00;7.5;0;0;CLOUDY
SOPRON;2;2017-04-29 9:11:00;6.7;0;0;CLEAR
DEBRECEN;1;2017-04-29 9:13:00;4.5;0;0;FOG
DEBRECEN;2;2017-04-29 9:15:00;3.5;0;0;CLEAR
DEBRECEN;3;2017-04-29 9:17:00;3;0;0;CLOUDY
BUDAPEST;1;2017-04-29 9:19:00;4.2;0;0;PARTLY_CLOUDY
BUDAPEST;2;2017-04-29 9:21:00;5;0;0;FOG
BUDAPEST;3;2017-04-29 9:23:00;8.3;0;0;CLEAR
SZEGED;1;2017-04-29 9:25:00;5.3;0;0;FOG
SZEGED;2;2017-04-29 9:27:00;1.7;0;0;CLEAR
SOPRON;1;2017-04-29 9:29:00;4;0;0;HEAVY_CLOUDS
SOPRON;2;2017-04-29 9:31:00;7.5;0.035;0.1;CLOUDY
DEBRECEN;1;2017-04-29 9:33:00;12.4;13.215;3.2;PARTLY_CLOUDY
DEBRECEN;2;2017-04-29 9:35:00;11.1;3.59;3.6;CLEAR
DEBRECEN;3;2017-04-29 9:37:00;10.1;1.195;0.4;PARTLY_CLOUDY
BUDAPEST;1;2017-04-29 9:39:00;11.9;1.105;0.3;PARTLY_CLOUDY
BUDAPEST;2;2017-04-29 9:41:00;13.5;0;0;CLEAR
BUDAPEST;3;2017-04-29 9:43:00;14.4;36.08;20.9;FOG
SZEGED;1;2017-04-29 9:45:00;14.9;7.88;1.8;CLEAR
SZEGED;2;2017-04-29 9:47:00;16.5;79.09;18.9;FOG
SOPRON;1;2017-04-29 9:49:00;18.2;0;0;FOG
SOPRON;2;2017-04-29 9:51:00;18;0;0;CLEAR
DEBRECEN;1;2017-04-29 9:53:00;17.7;1.825;0.6;HEAVY_CLOUDS
DEBRECEN;2;2017-04-29 9:55:00;17.8;28.025;5.9;HEAVY_CLOUDS
DEBRECEN;3;2017-04-29 9:57:00;17.8;37.945;19.5;CLEAR
BUDAPEST;1;2017-04-29 9:59:00;18.4;0;0;CLOUDY
BUDAPEST;2;2017-04-29 10:01:00;18.6;0;0;HEAVY_CLOUDS
BUDAPEST;3;2017-04-29 10:03:00;17.6;0;0;CLOUDY
SZEGED;1;2017-04-29 10:05:00;16.4;0;0;FOG
SZEGED;2;2017-04-29 10:07:00;14.7;40.68;23.1;CLOUDY
SOPRON;1;2017-04-29 10:09:00;16.7;2.655;0.6;CLEAR
SOPRON;2;2017-04-29 10:11:00;17.1;0;0;PARTLY_CLOUDY
DEBRECEN;1;2017-04-29 10:13:00;14.9;0;0;HEAVY_CLOUDS
DEBRECEN;2;2017-04-29 10:15:00;14.4;0;0;HEAVY_CLOUDS
DEBRECEN;3;2017-04-29 10:17:00;16.7;0;0;FOG
BUDAPEST;1;2017-04-29 10:19:00;18.3;0;0;HEAVY_CLOUDS
BUDAPEST;2;2017-04-29 10:21:00;17.5;0;0;CLOUDY
BUDAPEST;3;2017-04-29 10:23:00;16.5;0;0;FOG
SZEGED;1;2017-04-29 10:25:00;13.1;0;0;PARTLY_CLOUDY
SZEGED;2;2017-04-29 10:27:00;15.7;0;0;HEAVY_CLOUDS
SOPRON;1;2017-04-29 10:29:00;15.3;0.37;1.2;FOG
SOPRON;2;2017-04-29 10:31:00;14;0;0;CLOUDY
DEBRECEN;1;2017-04-29 10:33:00;15.4;0;0;PARTLY_CLOUDY
DEBRECEN;2;2017-04-29 10:35:00;16.7;0;0;CLOUDY
DEBRECEN;3;2017-04-29 10:37:00;17.3;0;0;CLOUDY
BUDAPEST;1;2017-04-29 10:39:00;18.3;0;0;PARTLY_CLOUDY
BUDAPEST;2;2017-04-29 10:41:00;19.4;0;0;HEAVY_CLOUDS
BUDAPEST;3;2017-04-29 10:43:00;13.5;0;0;PARTLY_CLOUDY
SZEGED;1;2017-04-29 10:45:00;17.3;0;0;PARTLY_CLOUDY
SZEGED;2;2017-04-29 10:47:00;16.1;0;0;HEAVY_CLOUDS
SOPRON;1;2017-04-29 10:49:00;13.4;0;0;FOG
SOPRON;2;2017-04-29 10:51:00;13.2;0;0;HEAVY_CLOUDS
DEBRECEN;1;2017-04-29 10:53:00;15.5;0;0;PARTLY_CLOUDY
DEBRECEN;2;2017-04-29 10:55:00;18.7;0;0;PARTLY_CLOUDY
DEBRECEN;3;2017-04-29 10:57:00;19.9;0;0;CLEAR
BUDAPEST;1;2017-04-29 10:59:00;21.7;0;0;FOG
BUDAPEST;2;2017-04-29 11:01:00;22.5;0;0;FOG
BUDAPEST;3;2017-04-29 11:03:00;18.7;0;0;HEAVY_CLOUDS
SZEGED;1;2017-04-29 11:05:00;13.5;0;0;HEAVY_CLOUDS
SZEGED;2;2017-04-29 11:07:00;10.4;0;0;HEAVY_CLOUDS
SOPRON;1;2017-04-29 11:09:00;17;0;0;PARTLY_CLOUDY
SOPRON;2;2017-04-29 11:11:00;19;0;0;FOG
DEBRECEN;1;2017-04-29 11:13:00;21.2;0;0;FOG
DEBRECEN;2;2017-04-29 11:15:00;23.5;0;0;CLEAR
DEBRECEN;3;2017-04-29 11:17:00;22.4;0;0;FOG
BUDAPEST;1;2017-04-29 11:19:00;21.5;0;0;FOG
BUDAPEST;2;2017-04-29 11:21:00;23.1;0;0;PARTLY_CLOUDY
BUDAPEST;3;2017-04-29 11:23:00;23.8;0;0;FOG
SZEGED;1;2017-04-29 11:25:00;19.2;0;0;HEAVY_CLOUDS
SZEGED;2;2017-04-29 11:27:00;18.8;18.14;5.7;CLOUDY
SOPRON;1;2017-04-29 11:29:00;22.5;0;0;CLEAR
SOPRON;2;2017-04-29 11:31:00;23.6;0;0;CLOUDY
DEBRECEN;1;2017-04-29 11:33:00;19.2;0;0;PARTLY_CLOUDY
DEBRECEN;2;2017-04-29 11:35:00;16.2;1.245;0.4;HEAVY_CLOUDS
